Number of Population from Registration by Age Group Region and Province: 2012-2022,,,,,,,,,,,,,
Unit: person,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Province,Age group,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Whole Kingdom,Whole Kingdom,Total,"64,456,695","64,785,909","65,124,716","65,729,098","65,931,550","66,188,503","66,413,979","66,558,935","66,186,727","66,171,439","66,090,475"
Whole Kingdom,Whole Kingdom,0 - 4,"3,815,730","3,778,239","3,735,837","3,676,952","3,565,020","3,427,578","3,314,100","3,185,739","3,071,469","2,932,631","2,900,560"
Whole Kingdom,Whole Kingdom,5-Sep,"3,983,567","3,975,363","3,939,851","3,894,051","3,885,043","3,885,777","3,852,428","3,807,943","3,743,954","3,627,740","3,725,691"
Whole Kingdom,Whole Kingdom,Oct-14,"4,160,322","4,050,886","4,023,611","3,986,394","3,983,268","3,991,516","3,986,869","3,953,497","3,906,378","3,895,704","3,980,113"
Whole Kingdom,Whole Kingdom,15  -  19,"4,846,762","4,782,557","4,669,627","4,527,342","4,332,511","4,155,510","4,050,413","4,025,157","3,987,528","3,983,216","4,037,251"
Whole Kingdom,Whole Kingdom,20  -  24,"4,675,038","4,728,293","4,757,235","4,782,168","4,808,033","4,804,456","4,747,669","4,637,316","4,498,162","4,306,789","4,208,166"
Whole Kingdom,Whole Kingdom,25  -  29,"4,718,221","4,614,853","4,558,803","4,548,635","4,585,819","4,659,182","4,715,637","4,746,770","4,772,140","4,795,440","4,868,406"
Whole Kingdom,Whole Kingdom,30  -  34,"5,167,883","5,126,586","5,031,441","4,934,837","4,825,484","4,687,295","4,588,425","4,532,350","4,520,683","4,556,484","4,697,744"
Whole Kingdom,Whole Kingdom,35  -  39,"5,279,936","5,241,906","5,220,549","5,216,951","5,172,463","5,117,249","5,079,069","4,984,910","4,887,918","4,775,836","4,705,945"
Whole Kingdom,Whole Kingdom,40  -  44,"5,395,138","5,311,610","5,302,742","5,260,482","5,214,732","5,198,876","5,166,182","5,144,831","5,139,763","5,092,290","5,111,313"
Whole Kingdom,Whole Kingdom,45  -  49,"5,108,781","5,197,091","5,198,243","5,212,299","5,261,933","5,274,591","5,208,010","5,197,884","5,154,087","5,103,019","5,151,234"
Whole Kingdom,Whole Kingdom,50  -  54,"4,416,584","4,544,422","4,685,678","4,793,037","4,886,375","4,960,855","5,060,191","5,060,459","5,072,553","5,113,625","5,183,898"
Whole Kingdom,Whole Kingdom,55  -  59,"3,598,327","3,564,686","3,719,979","3,930,660","4,094,384","4,239,258","4,381,029","4,516,238","4,619,641","4,702,272","4,821,792"
Whole Kingdom,Whole Kingdom,60  -  64,"2,715,815","2,884,753","2,987,245","3,057,197","3,145,127","3,259,753","3,390,015","3,538,299","3,737,902","3,886,256","4,062,519"
Whole Kingdom,Whole Kingdom,65  -  69,"1,825,206","1,993,088","2,145,757","2,298,003","2,433,969","2,570,858","2,678,454","2,775,155","2,841,991","2,919,253","3,057,752"
Whole Kingdom,Whole Kingdom,70  -  74,"1,475,558","1,479,757","1,500,831","1,542,059","1,589,468","1,670,877","1,779,855","1,919,612","2,059,106","2,177,292","2,323,276"
Whole Kingdom,Whole Kingdom,75  -  79,"1,066,689","1,138,170","1,172,718","1,185,573","1,214,296","1,231,271","1,242,527","1,262,107","1,299,271","1,336,916","1,420,190"
Whole Kingdom,Whole Kingdom,80  -  84,"649,031","713,590","743,486","775,669","804,670","831,149","865,608","894,638","905,525","926,107","947,577"
Whole Kingdom,Whole Kingdom,85  -  89,"285,622","342,684","367,690","389,428","410,861","436,488","462,914","482,128","505,699","523,811","547,086"
Whole Kingdom,Whole Kingdom,90  -  94,"101,293","121,720","128,494","138,112","146,679","161,736","177,618","191,036","203,427","214,694","230,839"
Whole Kingdom,Whole Kingdom,95  -  99,"33,812","39,386","41,134","43,569","45,105","47,838","51,569","54,115","57,503","61,371","72,245"
Whole Kingdom,Whole Kingdom,100 and over,"17,883","20,953","23,399","26,167","11,905","15,352","18,243","18,969","22,764","26,137","36,845"
Whole Kingdom,Whole Kingdom,Unknown/lunar Calendar,"1,240",442,427,416,53,50,49,46,47,30,33
Whole Kingdom,Whole Kingdom,Population Registered in House Registration and Non  -  Thai nationalities,"351,775","342,708","455,639","674,026","665,753","680,549","700,672","727,926","756,907","775,786",
Whole Kingdom,Whole Kingdom,Population Registered in Central House Registration,"615,096","637,403","571,778","675,849","693,992","722,717","742,416","751,791","393,847","416,517",
Whole Kingdom,Whole Kingdom, Transferring population,"151,386","154,763","142,522","159,222","154,607","157,722","154,017","150,019","28,462","22,223",
Bangkok,Bangkok,Total,"5,673,560","5,686,252","5,692,284","5,696,409","5,686,646","5,682,415","5,676,648","5,666,264","5,588,222","5,527,994","5,494,932"
